feature,value,min,max,nominal,control_limit,num_feature,parts,serial#,name,date
#1 AOL,2.499,2.49,2.51,2.5,0.008,3,1,NONE,Ff,2021-01-22
#2 OD,1.789,1.75,1.875,1.8125,0.05,3,1,NONE,Ff,2021-01-22
#3 ID,1.25,1.245,1.255,1.25,0.004,3,1,NONE,Ff,2021-01-22
#1 AOL,2.505,2.49,2.51,2.5,0.008,3,2,NONE,Vv,2021-01-25
#2 OD,1.798,1.75,1.875,1.8125,0.05,3,2,NONE,Vv,2021-01-25
#3 ID,1.249,1.245,1.255,1.25,0.004,3,2,NONE,Vv,2021-01-25
#1 AOL,2.5016,2.49,2.51,2.5,0.008,3,3,NONE,H,2021-01-25
#2 OD,1.8056,1.75,1.875,1.8125,0.05,3,3,NONE,H,2021-01-25
#3 ID,1.2451,1.245,1.255,1.25,0.004,3,3,NONE,H,2021-01-25
#1 AOL,2.5035,2.49,2.51,2.5,0.008,3,4,NONE,Hh,2021-01-25
#2 OD,1.7665,1.75,1.875,1.8125,0.05,3,4,NONE,Hh,2021-01-25
#3 ID,1.2485,1.245,1.255,1.25,0.004,3,4,NONE,Hh,2021-01-25
